功效,组成,适应证,按语,方源,制作,药名,编号,分类
消食化滞，健脾和胃。,白萝卜叶100 g。,恶心呕吐及因七情内伤、外感邪气，使脾胃损伤，积 食不化，脘腹满闷，胀痛，厌食，食下即吐。,"萝卜叶，为十字花科植物莱菔的根出叶，以干燥、质轻、 绿色、有香气而不霉蛀的为佳;黄绿色为老化叶，不宜食用。其性温， 味甘，入脾、胃二经。现代药理研究证实其含叶黄素、挥发油,油中含 a、β-己烯醛及β、γ-己烯醇。具有消食理气、化痰止咳、清肺利咽、散 瘀消肿的功效。《滇南本草》谓：“白萝卜杆叶，治脾胃不和，宿食不 消，胸膈膨胀，噎膈，打呃，呕吐酸水，赤白痢疾，妇人乳结、乳肿、经 闭。”代茶饮用，可健脾和胃，消食化积。不可与人参、地黄、何首乌等 共同进食。《饮片新参》载:“气虚血弱者禁用。”",经验方。,将叶捣烂取其汁。以开水冲，代茶饮用。,萝卜叶茶Ⅰ,331,内科-呕吐呃逆
行气消食，化滞止泻。,干萝卜叶30~60 g。,伤食积滞所致的泄泻。,"萝卜叶，有开胃、止泻、止痢的作用。民间夏季常用干 萝卜叶子加油盐做汤，健胃消食，并能防治肠炎、痢疾。萝卜菜于地 上长老开花结子,地下萝卜自空，湖南称为“窖萝卜”，全株阴干，治肠 炎、痢疾有良效，越陈越好。《清异录》载:“其家自先世多留带茎萝 卜，悬之檐下，有至十余年者；每至夏秋有病痢者，煮水服之，即止。 愈久者愈妙。”不可与人参、地黄、何首乌等共同进食。",经验方。,煎水代茶频饮。,萝卜叶茶Ⅱ,332,内科-呕吐呃逆
降逆辟秽，和胃止呕。,"乌梅2 g,硼砂1 g,红茶1. 5 g。","呕吐较甚或不止，或呕吐呃逆频繁;食管癌、胃癌晚 期入食困难,或入食即吐。","乌梅别名酸梅，其味酸、涩,性平。《本草纲目》认为其 “敛肺涩肠,治久嗽，泻痢，反胃噎膈，蛔厥吐利，消肿，涌痰，杀虫，解 鱼毒、马汗毒、硫黄毒”。硼砂，一种既软又轻的无色结晶物质,味甘、 咸,性凉。外用清热解毒、消肿、防腐，内服清肺化痰。硼砂对人体健 康的危害性很大，若摄入过多的硼,会引发多脏器的蓄积性中毒，故 临床用量应严格把握。红茶,其性温，味甘，用于此方中既可缓和硼 砂寒凉之性，又能防止乌梅收敛太过,还能利尿解毒。此三药合用可 降逆辟秽，和胃止呕，治各种呕吐，对噤口痢入食即吐者效果尤佳。 每日1剂，顿服或分2次服。注意:此茶中病即止，不可久服;妇女经 期以及孕妇忌食之。",经验方。,上三味以沸水冲泡5~10分钟或少煎即可。呕吐甚者 可加大黄粉1.5 g。,乌硼茶,333,内科-呕吐呃逆
降逆止呃。,"柿蒂、竹茹各3 g,茶叶10 g。",胃寒呃逆。,"柿蒂为成熟柿子的果蒂,《洁古家珍》又称柿钱,一般在 冬季收集。药肆有成品出售,其味苦、涩，性平，入肺、胃二经。可降 逆，为止呕啰常用之良药。竹茹味甘,性微寒，入肺、胃、胆经，亦有化 痰止呕之功。两药合用可奏降气止呕之功。配合茶叶消食化痰，对 纳差、呕啰呃逆者更佳。但此茶苦涩可伤胃，故有胃溃疡者慎用。",经验方。,上三味用开水冲泡，温饮频服。,柿蒂茶,334,内科-呕吐呃逆
降逆气，止呃逆。,"柿蒂10 g,生姜3 g。",呃逆不止。除用于一般的胃寒呃逆外，还较适于中 风患者的呃逆不止。,"本方中生姜取其温中止呕之功;柿蒂降逆止呕，与生姜 合用的妙处在《济生方》中记载为:“柿蒂散加以丁香、生姜之辛热，以 开痰散郁，盖从治之法，而昔人亦常用之收效矣。至易水张氏，又益 以人参,治病后虚人咳逆，亦有功绩。”上两药合用，降逆气,止呃逆效 用更强。",经验方。,"将柿蒂、生姜洗净，生姜切丝，同放入砂锅中，加水适 量,煎煮取汁代茶饮用。",柿蒂姜茶,335,内科-呕吐呃逆
温中散寒，降逆止呃。,"丁香6 g,柿蒂9 g,刀豆子12 g,生姜3 g。",脾胃受寒所致呃逆、脘腹饱满、食欲不振，舌淡苔白 等，神经性呃逆、膈肌痉挛，妊娠呕吐，神经性呕吐及腹部手术后出现 的膈肌痉挛。,"《本草通玄》记载:“丁香，温中健胃，须于丸剂中同润药用乃佳。独用多用，易于僭上，损肺伤目。”刀豆子在《中药材手册》中 记载曰：“补肾，散寒，下气，利肠胃，止呕吐。治肾气虚损，肠胃不和, 呕逆，腹胀，吐泻。”故本方中丁香温中健胃，刀豆子温中散寒、下气止 呕,生姜发散风寒、温中止呕，柿蒂降逆止呕。上四味合用，温中散 寒，降逆止呃。此茶每日1剂。在古代除了医生，词客骚人也对丁香 青睐有加，在文学作品中丁香多象征着高洁、美丽、哀婉的事物，又常 被借以寄愁。因丁香花多成簇开放，好似结，故称之为“丁结，百结 花”。李商隐的《代赠》里有“芭蕉不展丁香结”一句。",经验方。,将上药加水煎煮，代茶饮服。,丁香柿蒂茶Ⅰ,336,内科-呕吐呃逆
散寒理气降逆。,"丁香1 g,柿蒂2g,花茶3g。",外感寒邪咳噫不止、啰逆不定。,"丁香味辛，性温，归脾、胃、肾经，温中降逆、温肾助阳, 用于胃寒呕吐、呃逆、少食、腹泻等，为治疗胃寒呕吐、呃逆之要药。 柿蒂性平苦降，不寒不热，降气止呃,用于胃失和降所致的呃逆。朱 震亨曾言:“人之阴气，依胃为养。土伤则木挟相火，直冲清道而上作 咳逆,古人以为胃寒，即用丁香、柿蒂，不知其孰为补虚、孰为降火，不 能清气利痰,唯有助火而已。”此茶热病及阴虚内热者忌服。",《简要济众方》。,用丁香、柿蒂的煎煮液200 ml泡茶饮用，冲饮至味淡。,丁香柿蒂茶Ⅱ,337,内科-呕吐呃逆
温中和胃，降逆止呕。,"鲜姜60 g,醋、红糖各适量。",反胃呕吐及胃寒引起的胃脘痛等。,"此方中鲜姜是主药，其味辛，性微温，归肺、脾、胃经。 为芳香辛辣健胃药，有温肺止咳、温中止呕的功效。宋代诗人苏轼在 《东坡杂记》中记述杭州钱塘净慈寺80多岁的老和尚，面如童颜,“自言服生姜四十年,故不老云”。醋用来泡姜既是为了制约生姜辛散太 过，以防伤正，也是为了改善姜的辣味，便于服用。红糖,味甘甜，性 温润，入肝、脾经，在此方中能温能补，又能改善药味。三药合方温中 和胃，降逆止呕。代茶饮用，每日2剂，温服。本茶方实热呕吐及糖 尿病患者忌食。",《偏方大全》。,先将生姜洗净，切片，以醋浸泡一昼夜。用时取姜3 片，加红糖用沸水泡5分钟即可。,醋姜茶,338,内科-呕吐呃逆
清热和胃。,"枇杷叶10~15 g,鲜芦根10 g,或白糖适量。",胃中燥热，气逆作呕。,"枇杷被称为“黄金丸”或“小金锤”。明代沈周诗云:“谁 铸黄金三百丸，弹胎微湿露渍渍。从今抵鹊何消玉,更有锡浆沁齿 寒。”其叶功效为清肺止咳、降逆止呕，在《本草纲目》中有记载:“止渴 下气,利肺气，止吐逆并咳痰。”芦根味甘性寒,清热生津、除烦、止呕、 利尿，可用于热病烦渴、胃热呕吐的治疗。《玉楸药解》谓其“消降肺 胃，消荡郁烦，生津止渴，除烦下食”。上两味相须为用，清热和胃止 呕效用更彰。",《北京卫生职工学院资料》。,将枇杷叶去毛，烤干，与鲜芦根同煮，去渣，取汁。亦可 加入白糖少许改善药味。或用滚开水沏，代茶温饮。,枇杷芦根茶,339,内科-呕吐呃逆
消食止呕，化积导滞。,"炒麦芽10 g,炒山楂片3 g,红糖适量。","伤食呕吐，皖腹胀满，暧腐吞酸，食后即吐，吐出不化 宿食，其味酸臭，舌苔白腻,脉滑。","方中炒麦芽消食和中下气，山楂消积散瘀。麦芽偏于 消面食之积,山楂善消肉食之积。《本草纲目》中记载山楂:“化饮食， 消肉积。”又《农村中草药制剂技术》中的消滞茶（山楂、麦芽、红梅叶、 布楂叶）亦以此两味为主药。现代药理研究认为，山楂是酸性食物，具有增加胃酸的作用，再加上麦芽更能消食健胃。上两味加红糖适 量，代茶饮用，可消食止呕、正本清源，对伤食引起的呕吐效果尤佳。 但需要注意的是，麦芽要用外表略带须的有芽麦芽，而且要炒过的, 山楂为炒山楂。",《北京卫生职工学院资料》。,上三味加水煮汤，去渣取汁。代茶饮用。,麦芽山楂茶,340,内科-呕吐呃逆
降逆止呕。,甘蔗1段，生姜10 g。,胃气不和，上逆而呕吐，胸中烦闷而频吐痰涎。,"方中甘蔗是能清、能润，甘凉滋养的食疗佳品,古往今 来被人们广为称道，就连那些清高儒雅的文人墨客们对其也情有独 钟。唐代诗人王维在《樱桃诗》中写道:“饮食不须愁内热，大官还有 蔗浆寒。”而大医学家李时珍对甘蔗则别有一番见解，他说:“凡蔗榨 浆饮固佳，又不若咀嚼之味隽永也。”将食用甘蔗的微妙之处表述得 淋漓尽致。再伍以生姜降逆止呕、化饮开痰，并能以其微温之性制约 甘蔗之寒凉，共奏养胃阴、化痰涎、止呕吐之功。",《食物与治病》。,"先将甘蔗去皮轧汁，再将生姜轧汁滴入蔗汁中，调匀。 代茶饮用,不拘时，随意饮之。",甘蔗姜汁茶,341,内科-呕吐呃逆
降逆止呃。,"代赭石24 g,木香、公丁香各10 g,柿蒂15 g,灶心土 150 g。",呃逆。,"代赭石味苦、甘，性平，能平肝镇逆、凉血止血，善治噫 气呃逆。《医学衷中参西录》中认为：“降胃之药，实以代赭石为最 效。”动物实验代赭石溶液对小肠有明显兴奋作用，可使肠蠕动亢进。 丁香温中降逆，与柿蒂合用，其效非凡，正如《本草求真》所言:“柿蒂,虽与丁香同为止呃之味，然一辛热而一苦平，合用浑得寒热兼济之 妙。如系有寒无热，则丁香在所必用,不得固执以治，必当佐以柿蒂。 有热无寒,则柿蒂在所必需,不得泥以兼济之必杂以丁香。 ”木香在本 方中能下气降逆,灶心土可温中止呕。四药合用，共奏温中、行气、降 逆之功，对中焦虚寒、气机郁滞、胃失和降之呃逆、呕吐有较好的治疗 作用。",《陕甘宁青中草药选》。,将前四味煎汤，灶心土烧红放入汤内，待澄清后备用。 取清汁代茶饮用。,治呃逆药茶,342,内科-呕吐呃逆
温中止呕。,"丁香1 g,半夏3 g,花茶3 g,白糖10 g。",小儿吐逆。,"丁香，味辛，性温，归脾、胃、肾经，温中降逆、温肾助阳。 用于胃寒呕吐、呃逆、少食、腹泻等，为治疗胃寒呕吐、呃逆之要药。 半夏燥湿化痰、降逆止呕，可用于多种病证的呕吐。白糖味甘，小儿 易接受。但晚上睡前不宜吃糖，特别是儿童，最容易坏牙。另外，半 夏有毒，不可过量，反乌头。因其性温燥，对阴亏燥咳、血证、热痰等 病证,当忌用或慎用此茶。",《百一选方》。,丁香于9月至次年3月间，花蕾由青转为鲜红色时采 收。半夏夏秋收挖。用200 ml开水泡茶饮用，冲饮至味淡。,丁半茶,343,内科-呕吐呃逆
清暑宁心，凉血止血。,"莲花6 g,绿茶3 g。",暑日咯血，呕血，或月经过多，瘀血腹痛等。,"莲花味苦、甘，性平，归心、肝经，清香升散，具有清心解暑、散瘀止血等功效，主治妇人血逆昏迷、跌伤呕血、月经不调、崩漏 等。《本草纲目》中记载有“医家取为服食,百病可却”。该茶每日1 剂，以沸水冲泡5分钟后饮服。",《云林堂饮食制度集》。,取7月间莲花的含苞未放的大花蕾或已开之花，阴干， 和茶叶共为细末，用滤泡纸包装成袋泡茶，或取末冲泡亦可。,莲花茶Ⅰ,344,内科-吐血
清热除湿，活血止血。,"莲花1 g,金钱草2 g,绿茶3 g。",湿热夹杂诸病证。,"莲花又称荷花，含丰富的维生素C及荷叶碱,有降血 脂、抗自由基、抑制高胆固醇血症和动脉硬化等药疗、食疗功效，常用 于减肥。可治疗暑热烦渴，小儿惊痫,妇人血逆昏迷、跌伤呕血、月经 不调、崩漏、湿疮疥癣等病证。金钱草清热解毒、散瘀消肿、利湿退 黄。两药合用能清热除湿，活血止血。注意:脾胃虚寒者慎用。",经验方。,用开水冲泡后饮用。,莲花茶Ⅱ,345,内科-吐血
"清热凉血,止血。","鲜芦根60 g,鲜茅根30 g。",吐血，衄血，尿血，便血，肺热喘满，口渴，发热，胸 痛等。,"鲜茅根，味甘、苦，性寒，有凉血止血、清热解毒之功效; 鲜芦根，能清热生津、润肺和胃、除烦止呕，善引水下行、引血下行。 《医学衷中参西录》中记载:“其性凉能清肺热，中空能理肺气,而又味甘多液，更善滋养肺阴，则用根实胜于茎明矣。今药房所鬻者名为芦 根,实即苇根也。其性颇近茅根，凡当用茅根而无鲜者，皆可以鲜芦 根代之也。”故两药合用能清热生津、除烦止呕、凉血止血。民间有 “春饮芦根水，夏用绿豆汤，百病不生更硬朗”的说法，也肯定了芦根 清热解毒和利尿的功效。",《医学衷中参西录》。,上两味洗净，阴干，切碎，水煎数沸。代茶频频饮之。,二鲜茶,346,内科-吐血
"清热凉血,止血。",小蓟根30~60 g。,呕血、咯血、尿血等出血病证。,"《医学衷中参西录》曰：“鲜小蓟根，味微辛,气微腥，性 凉而润。为其气腥与血同臭,且又性凉濡润，故善入血分，最清血分 之热。凡咳血、吐血、血，二便下血之因热者，服之莫不立愈。又善 治肺结核，无论何期用之皆宜，即单用亦可奏效。并治一切疮疡肿 毒，花柳毒淋，下血涩疼，盖其性不但能凉血止血,兼能活血解毒，是 以有以上种种诸效也。其凉润之性，又善滋阴养血，治血虚发热，至 女子血崩赤带，其因热者用之亦效。”此药能清热凉血止血,正所谓 “单方一味,气死名医”。该茶每日1剂，不拘时频频饮服。",《医学衷中参西录》。,将上药制成粗末，水煎代茶饮用。,蓟根茶,347,内科-吐血
滋阴润燥，凉血止血。,"茅根（白茅根）、麦冬各30 g,冰糖适量。",肺燥吐血，干咳等。,"茅根味甘、苦,性寒。《本草求原》曰：“白茅根，和上下 之阳，清脾胃伏热，生肺津以凉血，为血热妄行上下诸失血之要药。” 麦冬味甘、微苦，性微寒。归心、肺、胃经，养阴生津、润肺清心。《本 草新编》载曰：“麦门冬，泻肺中之伏火,清胃中之热邪，补心气之劳伤,止血家之呕吐，益精强阴，解烦止渴,美颜色，悦肌肤,退虚热，解 肺燥,定咳嗽，真可持之为君而又可借之为臣使也。但世人未知麦冬 之妙用，往往少用之而不能成功为可惜也。”故上两味合用既可养阴 润肺、生津止渴，又能凉血止血，对肺燥引起的干咳、咯血、吐血效用 更强。",经验方。,将前两味洗净，捣烂，熬水，去渣，加入冰糖令溶。代茶 饮用。,茅根麦冬茶,348,内科-吐血
凉血止血。,"生藕节500 g,侧柏叶100 g。","呕血,血，咯血，尿血等。","侧柏叶味苦、涩，性寒，凉血止血。《本草别录》载其“主 吐血、衄血、痢血、崩中赤白。轻身益气，令人耐寒暑，去湿痹，生肌”。 生藕节味甘、涩，性平，散瘀、收敛止血,故能治疗一切血证。《日用本 草》载其“清热除烦,凡呕血、吐血、出血、败血，一切血证宜食之”。方 中两药合用，止血效果更佳。",经验方。,上两味捣烂，取汁，加温开水，代茶饮用。,藕柏饮茶,349,内科-吐血
